{'loss': 4.5358, 'grad_norm': 41.35681915283203, 'learning_rate': 1.5976331360946746e-05, 'epoch': 0.01}
{'loss': 0.4926, 'grad_norm': 1.3908002376556396, 'learning_rate': 0.0002980439791569161, 'epoch': 0.48}
{'loss': 0.5424, 'grad_norm': 2.786552667617798, 'learning_rate': 0.0002979021008502456, 'epoch': 0.49}
{'loss': 0.5466, 'grad_norm': 3.308645009994507, 'learning_rate': 0.0002977552917657984, 'epoch': 0.5}
{'loss': 0.5188, 'grad_norm': 1.5412700176239014, 'learning_rate': 0.000297603556797913, 'epoch': 0.51}
{'loss': 0.5311, 'grad_norm': 3.257014513015747, 'learning_rate': 0.00029744690100514797, 'epoch': 0.52}
{'loss': 0.5659, 'grad_norm': 3.0514297485351562, 'learning_rate': 0.00029728532961011253, 'epoch': 0.54}
{'loss': 0.5281, 'grad_norm': 2.2733981609344482, 'learning_rate': 0.0002971188479992931, 'epoch': 0.55}
{'loss': 0.5143, 'grad_norm': 1.2431868314743042, 'learning_rate': 0.0002969474617228733, 'epoch': 0.56}
{'loss': 0.5464, 'grad_norm': 1.5108742713928223, 'learning_rate': 0.00029677117649454926, 'epoch': 0.57}
{'loss': 0.5292, 'grad_norm': 1.4881994724273682, 'learning_rate': 0.00029658999819133866, 'epoch': 0.58}
{'loss': 0.4758, 'grad_norm': 1.8607972860336304, 'learning_rate': 0.00029640393285338535, 'epoch': 0.59}
{'loss': 0.5999, 'grad_norm': 3.1444947719573975, 'learning_rate': 0.0002962129866837576, 'epoch': 0.6}
{'loss': 0.5201, 'grad_norm': 1.7897729873657227, 'learning_rate': 0.0002960171660482415, 'epoch': 0.61}
{'loss': 0.6043, 'grad_norm': 1.3773304224014282, 'learning_rate': 0.00029581647747512857, 'epoch': 0.62}
{'loss': 0.538, 'grad_norm': 1.3403716087341309, 'learning_rate': 0.0002956109276549983, 'epoch': 0.63}
{'loss': 0.5738, 'grad_norm': 1.7594255208969116, 'learning_rate': 0.00029540052344049497, 'epoch': 0.64}
{'loss': 0.5182, 'grad_norm': 2.776718854904175, 'learning_rate': 0.0002951852718460992, 'epoch': 0.65}
{'loss': 0.5259, 'grad_norm': 1.7587151527404785, 'learning_rate': 0.0002949651800478941, 'epoch': 0.66}
{'loss': 0.5356, 'grad_norm': 1.3946561813354492, 'learning_rate': 0.0002947402553833263, 'epoch': 0.67}
{'loss': 0.5317, 'grad_norm': 1.611981749534607, 'learning_rate': 0.00029451050535096084, 'epoch': 0.69}
{'loss': 0.5424, 'grad_norm': 2.4253346920013428, 'learning_rate': 0.0002942759376102315, 'epoch': 0.7}
{'loss': 0.5704, 'grad_norm': 1.8443375825881958, 'learning_rate': 0.00029403655998118557, 'epoch': 0.71}
{'loss': 0.5585, 'grad_norm': 1.8518857955932617, 'learning_rate': 0.00029379238044422275, 'epoch': 0.72}
{'loss': 0.5153, 'grad_norm': 1.127188801765442, 'learning_rate': 0.0002935434071398294, 'epoch': 0.73}
{'loss': 0.5251, 'grad_norm': 1.8729068040847778, 'learning_rate': 0.00029328964836830703, 'epoch': 0.74}
{'loss': 0.5391, 'grad_norm': 2.5872364044189453, 'learning_rate': 0.00029303111258949574, 'epoch': 0.75}
{'loss': 0.5251, 'grad_norm': 1.341167688369751, 'learning_rate': 0.00029276780842249196, 'epoch': 0.76}
{'loss': 0.4874, 'grad_norm': 2.6587281227111816, 'learning_rate': 0.0002924997446453612, 'epoch': 0.77}
{'loss': 0.5433, 'grad_norm': 1.2614940404891968, 'learning_rate': 0.00029222693019484544, 'epoch': 0.78}
{'loss': 0.5175, 'grad_norm': 1.6870815753936768, 'learning_rate': 0.00029194937416606527, 'epoch': 0.79}
{'loss': 0.5571, 'grad_norm': 1.6429930925369263, 'learning_rate': 0.00029166708581221634, 'epoch': 0.8}
{'loss': 0.4675, 'grad_norm': 1.8519372940063477, 'learning_rate': 0.00029138007454426143, 'epoch': 0.81}
{'loss': 0.495, 'grad_norm': 1.532281756401062, 'learning_rate': 0.0002910883499306161, 'epoch': 0.82}
{'loss': 0.5448, 'grad_norm': 1.3937768936157227, 'learning_rate': 0.0002907919216968302, 'epoch': 0.83}                                                     
{'loss': 0.4906, 'grad_norm': 2.5695860385894775, 'learning_rate': 0.00029049079972526324, 'epoch': 0.85}
{'loss': 0.5166, 'grad_norm': 1.7234967947006226, 'learning_rate': 0.0002901849940547553, 'epoch': 0.86}
{'loss': 0.5435, 'grad_norm': 1.450271487236023, 'learning_rate': 0.00028987451488029207, 'epoch': 0.87}
{'loss': 0.5093, 'grad_norm': 1.4481701850891113, 'learning_rate': 0.0002895593725526651, 'epoch': 0.88}
{'loss': 0.5236, 'grad_norm': 2.267833709716797, 'learning_rate': 0.0002892395775781266, 'epoch': 0.89}
{'loss': 0.5272, 'grad_norm': 2.844255208969116, 'learning_rate': 0.00028891514061803945, 'epoch': 0.9}
{'loss': 0.5123, 'grad_norm': 1.7823342084884644, 'learning_rate': 0.0002885860724885215, 'epoch': 0.91}
{'loss': 0.5817, 'grad_norm': 2.0596084594726562, 'learning_rate': 0.00028825238416008495, 'epoch': 0.92}
{'loss': 0.4903, 'grad_norm': 1.6646242141723633, 'learning_rate': 0.000287914086757271, 'epoch': 0.93}
{'loss': 0.5234, 'grad_norm': 1.6606038808822632, 'learning_rate': 0.00028757119155827855, 'epoch': 0.94}
{'loss': 0.4927, 'grad_norm': 1.6300020217895508, 'learning_rate': 0.0002872237099945883, 'epoch': 0.95}
{'loss': 0.4971, 'grad_norm': 4.0152058601379395, 'learning_rate': 0.00028687165365058197, 'epoch': 0.96}
{'loss': 0.4534, 'grad_norm': 1.8715204000473022, 'learning_rate': 0.0002865150342631556, 'epoch': 0.97}
{'loss': 0.5362, 'grad_norm': 1.4628874063491821, 'learning_rate': 0.0002861538637213287, 'epoch': 0.98}
{'loss': 0.4909, 'grad_norm': 3.4680585861206055, 'learning_rate': 0.00028578815406584757, 'epoch': 1.0}
{'loss': 0.5283, 'grad_norm': 2.350644588470459, 'learning_rate': 0.00028541791748878405, 'epoch': 1.01}
{'loss': 0.3793, 'grad_norm': 2.7497055530548096, 'learning_rate': 0.0002850431663331291, 'epoch': 1.02}
{'loss': 0.3927, 'grad_norm': 1.569151520729065, 'learning_rate': 0.0002846639130923812, 'epoch': 1.03}
{'loss': 0.4107, 'grad_norm': 1.11204993724823, 'learning_rate': 0.00028428017041012984, 'epoch': 1.04}
{'loss': 0.3901, 'grad_norm': 2.3789010047912598, 'learning_rate': 0.00028389195107963403, 'epoch': 1.05}
{'loss': 0.4228, 'grad_norm': 1.2334997653961182, 'learning_rate': 0.00028349926804339585, 'epoch': 1.06}
{'loss': 0.3428, 'grad_norm': 1.0660295486450195, 'learning_rate': 0.0002831021343927289, 'epoch': 1.07}
{'loss': 0.422, 'grad_norm': 1.7343450784683228, 'learning_rate': 0.00028270056336732207, 'epoch': 1.08}
{'loss': 0.4218, 'grad_norm': 1.7677878141403198, 'learning_rate': 0.00028229456835479773, 'epoch': 1.09}
{'loss': 0.4132, 'grad_norm': 1.3879250288009644, 'learning_rate': 0.00028188416289026566, 'epoch': 1.1}
{'loss': 0.4255, 'grad_norm': 1.0981298685073853, 'learning_rate': 0.00028146936065587204, 'epoch': 1.11}
{'loss': 0.3857, 'grad_norm': 1.442478060722351, 'learning_rate': 0.0002810501754803429, 'epoch': 1.12}
{'loss': 0.3723, 'grad_norm': 1.3081090450286865, 'learning_rate': 0.0002806266213385233, 'epoch': 1.13}
{'loss': 0.411, 'grad_norm': 2.0380032062530518, 'learning_rate': 0.0002801987123509115, 'epoch': 1.14}
{'loss': 0.406, 'grad_norm': 1.6008270978927612, 'learning_rate': 0.00027976646278318805, 'epoch': 1.16}
{'loss': 0.375, 'grad_norm': 1.274871587753296, 'learning_rate': 0.0002793298870457403, 'epoch': 1.17}
{'loss': 0.4169, 'grad_norm': 2.6080994606018066, 'learning_rate': 0.0002788889996931819, 'epoch': 1.18}
{'loss': 0.434, 'grad_norm': 1.582804799079895, 'learning_rate': 0.0002784438154238677, 'epoch': 1.19}
{'loss': 0.4232, 'grad_norm': 2.4349751472473145, 'learning_rate': 0.00027799434907940383, 'epoch': 1.2}
{'loss': 0.3593, 'grad_norm': 1.4805794954299927, 'learning_rate': 0.00027754061564415236, 'epoch': 1.21}
{'loss': 0.402, 'grad_norm': 1.7740062475204468, 'learning_rate': 0.00027708263024473243, 'epoch': 1.22}
{'loss': 0.4812, 'grad_norm': 0.981731653213501, 'learning_rate': 0.0002766204081495157, 'epoch': 1.23}
{'loss': 0.3908, 'grad_norm': 4.418350696563721, 'learning_rate': 0.000276153964768117, 'epoch': 1.24}
{'loss': 0.3793, 'grad_norm': 1.9508436918258667, 'learning_rate': 0.0002756833156508813, 'epoch': 1.25}
{'loss': 0.3729, 'grad_norm': 0.9103510975837708, 'learning_rate': 0.00027520847648836454, 'epoch': 1.26}
{'loss': 0.3979, 'grad_norm': 1.1085261106491089, 'learning_rate': 0.00027472946311081107, 'epoch': 1.27}
{'loss': 0.4598, 'grad_norm': 1.0677415132522583, 'learning_rate': 0.0002742462914876256, 'epoch': 1.28}
{'loss': 0.4179, 'grad_norm': 1.6047242879867554, 'learning_rate': 0.00027375897772684114, 'epoch': 1.29}
{'loss': 0.4552, 'grad_norm': 3.0767784118652344, 'learning_rate': 0.0002732675380745816, 'epoch': 1.31}
{'loss': 0.4123, 'grad_norm': 1.710692286491394, 'learning_rate': 0.00027277198891452025, 'epoch': 1.32}
{'loss': 0.3968, 'grad_norm': 2.1334755420684814, 'learning_rate': 0.00027227234676733387, 'epoch': 1.33}
{'loss': 0.3972, 'grad_norm': 1.4149008989334106, 'learning_rate': 0.00027176862829015165, 'epoch': 1.34}
{'loss': 0.4173, 'grad_norm': 1.2506691217422485, 'learning_rate': 0.00027126085027599984, 'epoch': 1.35}
{'loss': 0.3907, 'grad_norm': 1.7719402313232422, 'learning_rate': 0.0002707490296532421, 'epoch': 1.36}
{'loss': 0.4037, 'grad_norm': 2.1725218296051025, 'learning_rate': 0.000270233183485015, 'epoch': 1.37}
{'loss': 0.3897, 'grad_norm': 1.2101714611053467, 'learning_rate': 0.0002697133289686593, 'epoch': 1.38}
{'loss': 0.432, 'grad_norm': 1.8771953582763672, 'learning_rate': 0.00026918948343514654, 'epoch': 1.39}
{'loss': 0.3935, 'grad_norm': 2.212907314300537, 'learning_rate': 0.00026866166434850124, 'epoch': 1.4}
{'loss': 0.3858, 'grad_norm': 1.097599983215332, 'learning_rate': 0.0002681298893052187, 'epoch': 1.41}
{'loss': 0.4464, 'grad_norm': 1.2528880834579468, 'learning_rate': 0.0002675941760336783, 'epoch': 1.42}
{'loss': 0.4102, 'grad_norm': 2.2523767948150635, 'learning_rate': 0.0002670545423935528, 'epoch': 1.43}
{'loss': 0.4456, 'grad_norm': 1.5967239141464233, 'learning_rate': 0.00026651100637521224, 'epoch': 1.44}
{'loss': 0.3838, 'grad_norm': 2.1307995319366455, 'learning_rate': 0.000265963586099125, 'epoch': 1.45}
{'loss': 0.438, 'grad_norm': 1.7577177286148071, 'learning_rate': 0.0002654122998152531, 'epoch': 1.47}
{'loss': 0.3833, 'grad_norm': 1.9833495616912842, 'learning_rate': 0.0002648571659024441, 'epoch': 1.48}
{'loss': 0.4143, 'grad_norm': 1.7574414014816284, 'learning_rate': 0.00026429820286781813, 'epoch': 1.49}
{'loss': 0.3905, 'grad_norm': 1.449619174003601, 'learning_rate': 0.00026373542934615126, 'epoch': 1.5}
{'loss': 0.4645, 'grad_norm': 3.651610851287842, 'learning_rate': 0.0002631688640992537, 'epoch': 1.51}
{'loss': 0.4271, 'grad_norm': 1.7488698959350586, 'learning_rate': 0.00026259852601534506, 'epoch': 1.52}
{'loss': 0.3932, 'grad_norm': 1.6963833570480347, 'learning_rate': 0.0002620244341084238, 'epoch': 1.53}
{'loss': 0.4082, 'grad_norm': 1.4776662588119507, 'learning_rate': 0.00026144660751763416, 'epoch': 1.54}
{'loss': 0.4499, 'grad_norm': 1.3120399713516235, 'learning_rate': 0.0002608650655066274, 'epoch': 1.55}
{'loss': 0.3904, 'grad_norm': 1.3094388246536255, 'learning_rate': 0.00026027982746292016, 'epoch': 1.56}
{'loss': 0.4162, 'grad_norm': 1.89640212059021, 'learning_rate': 0.0002596909128972477, 'epoch': 1.57}
{'loss': 0.4061, 'grad_norm': 2.1789135932922363, 'learning_rate': 0.0002590983414429136, 'epoch': 1.58}
{'loss': 0.4515, 'grad_norm': 1.4932260513305664, 'learning_rate': 0.00025850213285513534, 'epoch': 1.59}
{'loss': 0.3984, 'grad_norm': 1.115722894668579, 'learning_rate': 0.0002579023070103855, 'epoch': 1.6}
{'loss': 0.4287, 'grad_norm': 0.9684380292892456, 'learning_rate': 0.00025729888390572914, 'epoch': 1.62}
{'loss': 0.376, 'grad_norm': 1.7388602495193481, 'learning_rate': 0.0002566918836581574, 'epoch': 1.63}
{'loss': 0.3704, 'grad_norm': 1.1023081541061401, 'learning_rate': 0.0002560813265039165, 'epoch': 1.64}
{'loss': 0.4454, 'grad_norm': 1.994149923324585, 'learning_rate': 0.0002554672327978332, 'epoch': 1.65}
{'loss': 0.4109, 'grad_norm': 2.77996826171875, 'learning_rate': 0.0002548496230126363, 'epoch': 1.66}
{'loss': 0.3828, 'grad_norm': 2.853325366973877, 'learning_rate': 0.0002542285177382741, 'epoch': 1.67}                                                       
{'loss': 0.406, 'grad_norm': 1.4689888954162598, 'learning_rate': 0.0002536039376812277, 'epoch': 1.68}
{'loss': 0.355, 'grad_norm': 2.9858205318450928, 'learning_rate': 0.0002529759036638214, 'epoch': 1.69}
{'loss': 0.379, 'grad_norm': 2.374070882797241, 'learning_rate': 0.0002523444366235276, 'epoch': 1.7}
{'loss': 0.3795, 'grad_norm': 1.1691765785217285, 'learning_rate': 0.00025170955761226937, 'epoch': 1.71}
{'loss': 0.4003, 'grad_norm': 1.2129937410354614, 'learning_rate': 0.00025107128779571847, 'epoch': 1.72}
{'loss': 0.4457, 'grad_norm': 1.3795380592346191, 'learning_rate': 0.00025042964845258973, 'epoch': 1.73}
{'loss': 0.433, 'grad_norm': 1.2293919324874878, 'learning_rate': 0.00024978466097393164, 'epoch': 1.74}
{'loss': 0.3867, 'grad_norm': 3.336838960647583, 'learning_rate': 0.00024913634686241337, 'epoch': 1.75}
{'loss': 0.376, 'grad_norm': 1.2331377267837524, 'learning_rate': 0.00024848472773160744, 'epoch': 1.77}
{'loss': 0.4553, 'grad_norm': 2.0098683834075928, 'learning_rate': 0.0002478298253052699, 'epoch': 1.78}
{'loss': 0.4083, 'grad_norm': 1.0413732528686523, 'learning_rate': 0.0002471716614166154, 'epoch': 1.79}
{'loss': 0.4196, 'grad_norm': 2.3197226524353027, 'learning_rate': 0.0002465102580075897, 'epoch': 1.8}
{'loss': 0.4219, 'grad_norm': 1.6848398447036743, 'learning_rate': 0.0002458456371281382, 'epoch': 1.81}
{'loss': 0.4201, 'grad_norm': 1.3388131856918335, 'learning_rate': 0.0002451778209354704, 'epoch': 1.82}
{'loss': 0.4139, 'grad_norm': 1.8766887187957764, 'learning_rate': 0.0002445068316933218, 'epoch': 1.83}
{'loss': 0.4494, 'grad_norm': 2.7648136615753174, 'learning_rate': 0.00024383269177121142, 'epoch': 1.84}
{'loss': 0.385, 'grad_norm': 1.196075677871704, 'learning_rate': 0.00024315542364369586, 'epoch': 1.85}
{'loss': 0.4029, 'grad_norm': 2.418100357055664, 'learning_rate': 0.00024247504988962018, 'epoch': 1.86}
{'loss': 0.3743, 'grad_norm': 1.3305081129074097, 'learning_rate': 0.0002417915931913654, 'epoch': 1.87}
{'loss': 0.4272, 'grad_norm': 2.107962131500244, 'learning_rate': 0.0002411050763340919, 'epoch': 1.88}
{'loss': 0.4019, 'grad_norm': 3.594144821166992, 'learning_rate': 0.0002404155222049801, 'epoch': 1.89}
{'loss': 0.3725, 'grad_norm': 1.440435528755188, 'learning_rate': 0.00023972295379246734, 'epoch': 1.9}
{'loss': 0.3973, 'grad_norm': 1.713547706604004, 'learning_rate': 0.00023902739418548146, 'epoch': 1.92}
{'loss': 0.4083, 'grad_norm': 2.1542460918426514, 'learning_rate': 0.00023832886657267112, 'epoch': 1.93}
{'loss': 0.4184, 'grad_norm': 2.714468002319336, 'learning_rate': 0.00023762739424163271, 'epoch': 1.94}
{'loss': 0.3844, 'grad_norm': 2.0828754901885986, 'learning_rate': 0.000236923000578134, 'epoch': 1.95}
{'loss': 0.4201, 'grad_norm': 1.5831944942474365, 'learning_rate': 0.00023621570906533446, 'epoch': 1.96}
{'loss': 0.4346, 'grad_norm': 1.058780312538147, 'learning_rate': 0.0002355055432830024, 'epoch': 1.97}
{'loss': 0.4276, 'grad_norm': 1.061538815498352, 'learning_rate': 0.00023479252690672888, 'epoch': 1.98}
{'loss': 0.3833, 'grad_norm': 1.7688753604888916, 'learning_rate': 0.0002340766837071385, 'epoch': 1.99}
{'loss': 0.4092, 'grad_norm': 6.097712993621826, 'learning_rate': 0.00023335803754909661, 'epoch': 2.0}
{'loss': 0.2972, 'grad_norm': 1.3951523303985596, 'learning_rate': 0.00023263661239091412, 'epoch': 2.01}
{'loss': 0.2743, 'grad_norm': 1.171919345855713, 'learning_rate': 0.00023191243228354845, 'epoch': 2.02}
{'loss': 0.2882, 'grad_norm': 1.2676222324371338, 'learning_rate': 0.000231185521369802, 'epoch': 2.03}
{'loss': 0.2972, 'grad_norm': 1.4728045463562012, 'learning_rate': 0.00023045590388351685, 'epoch': 2.04}
{'loss': 0.3083, 'grad_norm': 1.6795871257781982, 'learning_rate': 0.00022972360414876737, 'epoch': 2.05}
{'loss': 0.3043, 'grad_norm': 1.0928168296813965, 'learning_rate': 0.00022898864657904897, 'epoch': 2.06}
{'loss': 0.2864, 'grad_norm': 1.2498793601989746, 'learning_rate': 0.00022825105567646423, 'epoch': 2.07}
{'loss': 0.281, 'grad_norm': 1.1265017986297607, 'learning_rate': 0.00022751085603090612, 'epoch': 2.09}
{'loss': 0.2755, 'grad_norm': 0.9166501760482788, 'learning_rate': 0.00022676807231923824, 'epoch': 2.1}
{'loss': 0.2825, 'grad_norm': 1.0849910974502563, 'learning_rate': 0.00022602272930447202, 'epoch': 2.11}
{'loss': 0.254, 'grad_norm': 1.24985671043396, 'learning_rate': 0.00022527485183494126, 'epoch': 2.12}
{'loss': 0.2994, 'grad_norm': 1.1080032587051392, 'learning_rate': 0.00022452446484347378, 'epoch': 2.13}
{'loss': 0.2971, 'grad_norm': 1.054722785949707, 'learning_rate': 0.00022377159334655998, 'epoch': 2.14}
{'loss': 0.3126, 'grad_norm': 1.7569427490234375, 'learning_rate': 0.00022301626244351924, 'epoch': 2.15}
{'loss': 0.2754, 'grad_norm': 1.344949722290039, 'learning_rate': 0.00022225849731566266, 'epoch': 2.16}
{'loss': 0.2854, 'grad_norm': 1.0562410354614258, 'learning_rate': 0.00022149832322545398, 'epoch': 2.17}
{'loss': 0.2921, 'grad_norm': 3.1756582260131836, 'learning_rate': 0.0002207357655156671, 'epoch': 2.18}
{'loss': 0.2836, 'grad_norm': 2.024351119995117, 'learning_rate': 0.00021997084960854153, 'epoch': 2.19}
{'loss': 0.328, 'grad_norm': 1.7490373849868774, 'learning_rate': 0.00021920360100493433, 'epoch': 2.2}
{'loss': 0.2873, 'grad_norm': 1.4033969640731812, 'learning_rate': 0.00021843404528347043, 'epoch': 2.21}
{'loss': 0.2711, 'grad_norm': 1.2718474864959717, 'learning_rate': 0.00021766220809968986, 'epoch': 2.22}
{'loss': 0.2875, 'grad_norm': 2.302635431289673, 'learning_rate': 0.0002168881151851921, 'epoch': 2.24}
{'loss': 0.2936, 'grad_norm': 1.3068865537643433, 'learning_rate': 0.0002161117923467785, 'epoch': 2.25}
{'loss': 0.2941, 'grad_norm': 1.3402618169784546, 'learning_rate': 0.00021533326546559198, 'epoch': 2.26}
{'loss': 0.2763, 'grad_norm': 1.3889907598495483, 'learning_rate': 0.00021455256049625392, 'epoch': 2.27}
{'loss': 0.2766, 'grad_norm': 2.346778154373169, 'learning_rate': 0.00021376970346599926, 'epoch': 2.28}
{'loss': 0.2747, 'grad_norm': 2.5930566787719727, 'learning_rate': 0.00021298472047380845, 'epoch': 2.29}
{'loss': 0.2944, 'grad_norm': 1.471448540687561, 'learning_rate': 0.0002121976376895376, 'epoch': 2.3}
{'loss': 0.2975, 'grad_norm': 0.9320118427276611, 'learning_rate': 0.00021140848135304594, 'epoch': 2.31}
{'loss': 0.2676, 'grad_norm': 1.9117250442504883, 'learning_rate': 0.00021061727777332088, 'epoch': 2.32}
{'loss': 0.2807, 'grad_norm': 1.068190336227417, 'learning_rate': 0.00020982405332760134, 'epoch': 2.33}
{'loss': 0.268, 'grad_norm': 1.059309959411621, 'learning_rate': 0.00020902883446049782, 'epoch': 2.34}
{'loss': 0.2826, 'grad_norm': 1.8374862670898438, 'learning_rate': 0.00020823164768311132, 'epoch': 2.35}
{'loss': 0.2938, 'grad_norm': 2.676908254623413, 'learning_rate': 0.00020743251957214905, 'epoch': 2.36}
{'loss': 0.2734, 'grad_norm': 1.581216812133789, 'learning_rate': 0.0002066314767690388, 'epoch': 2.37}
{'loss': 0.2873, 'grad_norm': 2.2068674564361572, 'learning_rate': 0.00020582854597904048, 'epoch': 2.39}
{'loss': 0.2693, 'grad_norm': 1.4097144603729248, 'learning_rate': 0.0002050237539703561, 'epoch': 2.4}
{'loss': 0.2747, 'grad_norm': 1.018007516860962, 'learning_rate': 0.00020421712757323694, 'epoch': 2.41}
{'loss': 0.2569, 'grad_norm': 1.1289010047912598, 'learning_rate': 0.0002034086936790895, 'epoch': 2.42}
{'loss': 0.3158, 'grad_norm': 1.3378138542175293, 'learning_rate': 0.00020259847923957892, 'epoch': 2.43}
{'loss': 0.3042, 'grad_norm': 2.0440642833709717, 'learning_rate': 0.0002017865112657302, 'epoch': 2.44}
{'loss': 0.291, 'grad_norm': 1.37760329246521, 'learning_rate': 0.00020097281682702786, 'epoch': 2.45}
{'loss': 0.3041, 'grad_norm': 1.931592583656311, 'learning_rate': 0.00020015742305051366, 'epoch': 2.46}
{'loss': 0.2881, 'grad_norm': 4.360641002655029, 'learning_rate': 0.000199340357119882, 'epoch': 2.47}
{'loss': 0.311, 'grad_norm': 2.472055435180664, 'learning_rate': 0.0001985216462745738, 'epoch': 2.48}
{'loss': 0.3047, 'grad_norm': 2.105134963989258, 'learning_rate': 0.00019770131780886828, 'epoch': 2.49}
{'loss': 0.2681, 'grad_norm': 2.7146506309509277, 'learning_rate': 0.0001968793990709731, 'epoch': 2.5}                                                       
